latitude,longitude,incomegroup,private01,Number of Student
-12.0825755,-77.0462738,Upper middle income,1.0,14121.0
-12.0819286,-77.0466578,Upper middle income,1.0,18160.0
-12.0817493,-76.9431895,Upper middle income,0.0,64045.0
-12.0754274,-77.0919816,Upper middle income,0.0,267525.0
-12.0741046,-77.035806,Upper middle income,1.0,14116.0
-12.0733251,-76.9519446,Upper middle income,1.0,18160.0
-12.0721316,-77.0420936,Upper middle income,1.0,16252.0
-12.0716313,-76.9650529,Upper middle income,1.0,28331.0
-12.0714689,-77.0510524,Upper middle income,1.0,14099.0
-12.0701332,-77.0590285,Upper middle income,1.0,16255.0
-12.0700173,-75.2115571,Upper middle income,1.0,252118.0
-12.069512,-77.0793592,Upper middle income,1.0,175800.0
-12.0691716,-77.0371654,Upper middle income,1.0,18160.0
-12.0678098,-75.2090019,Upper middle income,1.0,62545.0
-12.0670154,-77.0338432,Upper middle income,1.0,16257.0
-12.0648721,-77.0368429,Upper middle income,1.0,18159.0
-12.0631513,-77.0378175,Upper middle income,1.0,111433.0
-12.0614627,-77.1470315,Upper middle income,1.0,11091.0
-12.0613052,-77.1172487,Upper middle income,0.0,107653.0
-12.0609372,-77.0975378,Upper middle income,1.0,111335.0
-12.0563556,-77.0445059,Upper middle income,1.0,14121.0
-12.0561578,-77.0845196,Upper middle income,0.0,393977.0
-12.0476664,-75.1987032,Upper middle income,1.0,17944.0
-12.0421667,-75.1956633,Upper middle income,1.0,14116.0
-12.0330464,-75.237332,Upper middle income,0.0,104466.0
-12.0239773,-77.0565049,Upper middle income,1.0,10199.0
-12.0231787,-77.0476301,Upper middle income,0.0,133676.0
-12.0165774,-76.8901713,Upper middle income,1.0,11091.0
-12.0003522,-77.0833903,Upper middle income,0.0,12753.0
-11.9905165,-77.0598493,Upper middle income,1.0,14121.0
-11.989087,-76.839662,Upper middle income,1.0,44897.0
-11.97818,-77.01687,Upper middle income,1.0,11084.0
-11.9475748,-76.7011822,Upper middle income,0.0,88460.0
-11.4218607,33.9954007,Low income,0.0,14855.0
-11.4195673,-75.6883657,Upper middle income,0.0,12753.0
-11.1239202,-77.6082465,Upper middle income,0.0,50858.0
-11.0565461,-75.3319538,Upper middle income,0.0,17248.0
-10.7543083,-77.7582582,Upper middle income,0.0,17248.0
-10.6036033,34.1056823,Low income,1.0,6085.0
-9.9492894,-76.2503248,Upper middle income,0.0,69157.0
-9.9284112,-76.2371722,Upper middle income,1.0,24760.0
-9.5212334,-77.5287365,Upper middle income,1.0,42859.0
-9.4094573,147.1712535,Lower middle income,0.0,64360.0
-9.4056914,147.2754432,Lower middle income,1.0,3221.0
-9.3140208,-75.9966689,Upper middle income,0.0,12162.0
-9.1208895,-78.5133316,Upper middle income,0.0,34876.0
-9.0776344,-78.5895008,Upper middle income,1.0,12706.0
-9.0532681,-78.5907465,Upper middle income,1.0,42625.0
-8.3949316,-74.5776011,Upper middle income,0.0,16683.0
-8.3880753,-74.5313108,Upper middle income,1.0,16259.0
-8.1602468,-79.0111745,Upper middle income,1.0,17941.0
-8.1269948,-79.0314248,Upper middle income,1.0,20904.0
-8.116195,-79.0312304,Upper middle income,1.0,278707.0
-8.1151,-79.03194,Upper middle income,1.0,11084.0
-8.1150074,-79.0383048,Upper middle income,0.0,137489.0
-8.1080914,-78.9944305,Upper middle income,1.0,14099.0
-8.099966,-79.0188827,Upper middle income,1.0,37198.0
-7.816461,-78.0452048,Upper middle income,0.0,12753.0
-7.1716803,-78.501215,Upper middle income,1.0,17942.0
-7.167159,-78.4965043,Upper middle income,0.0,51542.0
-6.7950553,-79.8852178,Upper middle income,1.0,12653.0
-6.790111,-79.8783334,Upper middle income,1.0,11934.0
-6.7745742,-79.8450745,Upper middle income,1.0,14121.0
-6.7677972,-79.8325989,Upper middle income,1.0,14110.0
-6.7603743,-79.8630332,Upper middle income,1.0,18160.0
-6.7077407,-79.9042231,Upper middle income,0.0,117655.0
-6.6729906,146.9936712,Lower middle income,0.0,19971.0
-6.5554979,-78.6379684,Upper middle income,0.0,17248.0
-6.4863357,-76.3793896,Upper middle income,0.0,7633.0
-6.2335409,-77.8531651,Upper middle income,0.0,24319.0
-6.0586238,145.3914356,Lower middle income,0.0,9478.0
-5.7470676,-78.4494681,Upper middle income,1.0,11084.0
-5.6737628,-78.77631,Upper middle income,0.0,17248.0
-5.6318121,-78.5351621,Upper middle income,0.0,17248.0
-5.2248321,145.7925653,Lower middle income,1.0,10062.0
-5.179311,-80.6188325,Upper middle income,0.0,96303.0
-5.1766923,-80.6346434,Upper middle income,1.0,36731.0
-4.909966,-80.7284424,Upper middle income,0.0,17248.0
-4.3505514,152.0091641,Lower middle income,0.0,2692.0
-4.0375477,39.6684099,Lower middle income,0.0,28719.0
-3.7722229,-73.282875,Upper middle income,1.0,14099.0
-3.7694078,-73.2820646,Upper middle income,1.0,77068.0
-3.7546883,-73.2471632,Upper middle income,1.0,14121.0
-3.7459891,-73.2456994,Upper middle income,0.0,87479.0
-3.6200184,39.8463701,Lower middle income,0.0,32916.0
-3.585267,-80.443305,Upper middle income,0.0,29952.0
-1.5308534,37.262769,Lower middle income,0.0,26226.0
-1.5005043,37.26694,Lower middle income,1.0,5026.0
-1.4393617,37.0483837,Lower middle income,1.0,17402.0
-1.4028364,36.7283502,Lower middle income,1.0,7663.0
-1.3997805,36.7887539,Lower middle income,1.0,9372.0
-1.382264,36.76848,Lower middle income,0.0,35697.0
-1.3512508,36.7571435,Lower middle income,1.0,45980.0
-1.3390306,36.7656416,Lower middle income,1.0,6306.0
-1.3283534,36.8292929,Lower middle income,1.0,989.0
-1.3127313,36.6796821,Lower middle income,1.0,10715.0
-1.3099491,37.7558212,Lower middle income,0.0,17023.0
-1.3086367,36.8140593,Lower middle income,1.0,24121.0
-1.2998831,36.773037,Lower middle income,1.0,9255.0
-1.2912814,36.8257015,Lower middle income,0.0,43501.0
-1.2812715,36.817596,Lower middle income,1.0,8641.0
-1.2794987,36.8159447,Lower middle income,0.0,334300.0
-1.272733,36.6676536,Lower middle income,1.0,11694.0
-1.263699,36.8025768,Lower middle income,1.0,6498.0
-1.26203,36.7987527,Lower middle income,0.0,84458.0
-1.2536456,36.8595237,Lower middle income,1.0,79976.0
-1.2180945,36.8792139,Lower middle income,1.0,23680.0
-1.2153317,36.8856092,Lower middle income,1.0,11176.0
-1.1805251,36.9347514,Lower middle income,0.0,193229.0
-1.1477162,36.6681291,Lower middle income,1.0,15088.0
-1.0920878,35.8576316,Lower middle income,0.0,20867.0
-1.0911971,37.0117169,Lower middle income,0.0,70771.0
-1.044816,37.0823637,Lower middle income,1.0,177697.0
-0.8242034,34.6079365,Lower middle income,0.0,85271.0
-0.5156165,37.4560299,Lower middle income,0.0,21114.0
-0.4813434,37.127766,Lower middle income,0.0,13249.0
-0.4479404,35.1375379,Lower middle income,0.0,34093.0
-0.4478601,34.8885296,Lower middle income,0.0,38494.0
-0.4474389,39.661089,Lower middle income,0.0,21114.0
-0.3978314,36.9609217,Lower middle income,0.0,31436.0
-0.369249,35.267153,Lower middle income,1.0,2512.0
-0.3191077,37.6572086,Lower middle income,0.0,24930.0
-0.16747,35.96499,Lower middle income,1.0,16630.0
-0.00552,34.5988355,Lower middle income,0.0,23268.0
0.0291406,36.2746572,Lower middle income,0.0,20118.0
0.1348854,37.7083752,Lower middle income,0.0,24942.0
0.2561981,35.0830049,Lower middle income,1.0,10849.0
0.2827307,34.7518631,Lower middle income,0.0,34286.0
0.5117565,35.2692121,Lower middle income,0.0,106535.0
0.5207609,35.2762321,Lower middle income,0.0,127040.0
0.5699258,34.5592552,Lower middle income,0.0,24930.0
1.4594829,103.7624659,Upper middle income,1.0,7294.0
1.4666795,110.425148,Upper middle income,0.0,38245.0
1.5102026,103.8689389,Upper middle income,1.0,12643.0
1.533675,103.6817365,Upper middle income,1.0,17222.0
1.5593571,103.6385749,Upper middle income,0.0,186100.0
1.8565058,103.0821795,Upper middle income,0.0,68002.0
2.3137898,102.3211166,Upper middle income,0.0,42818.0
2.3411646,111.8436229,Upper middle income,1.0,7630.0
2.3754881,102.027154,Upper middle income,1.0,19085.0
2.3956532,102.1665377,Upper middle income,1.0,14331.0
2.779599,101.773264,Upper middle income,1.0,16248.0
2.8139714,101.7582411,Upper middle income,1.0,17594.0
2.815262,101.76899,Upper middle income,1.0,14662.0
2.8214087,101.7784484,Upper middle income,1.0,9953.0
2.8223813,101.8719988,Upper middle income,1.0,17261.0
2.844082,101.7819853,Upper middle income,0.0,47443.0
2.8905789,101.7885488,Upper middle income,1.0,16217.0
2.911805,101.6529844,Upper middle income,1.0,7626.0
2.9277715,101.6419004,Upper middle income,1.0,14662.0
2.9290401,101.7800216,Upper middle income,0.0,156942.0
2.9290401,101.7800216,Upper middle income,1.0,43251.0
2.9304778,101.6379611,Upper middle income,1.0,18163.0
2.94,101.6627778,Upper middle income,1.0,134466.0
2.9594558,101.5764508,Upper middle income,1.0,12642.0
2.9801312,101.7380682,Upper middle income,1.0,14657.0
2.9896751,101.7258007,Upper middle income,1.0,13330.0
2.99932,101.707939,Upper middle income,0.0,26164.0
3.043422,101.6194197,Upper middle income,1.0,18632.0
3.0504628,101.7248331,Upper middle income,0.0,50422.0
3.0553454,101.7004907,Upper middle income,1.0,16515.0
3.0597317,101.6871569,Upper middle income,1.0,13254.0
3.06006,101.5929421,Upper middle income,1.0,7622.0
3.06411,101.6160856,Upper middle income,1.0,20840.0
3.0670776,101.6035404,Upper middle income,1.0,17581.0
3.069724,101.5036726,Upper middle income,0.0,644915.0
3.0765691,101.5896173,Upper middle income,1.0,10272.0
3.0779462,101.5527485,Upper middle income,1.0,45405.0
3.0799621,101.7335176,Upper middle income,1.0,36219.0
3.0836887,101.7004447,Upper middle income,1.0,10274.0
3.0926876,101.559754,Upper middle income,1.0,37032.0
3.0999853,101.6002544,Upper middle income,1.0,6132.0
3.1000244,101.5924051,Upper middle income,1.0,14649.0
3.1009282,101.5380297,Upper middle income,1.0,6961.0
3.1023286,101.6376123,Upper middle income,1.0,18632.0
3.1070343,101.6398002,Upper middle income,1.0,7630.0
3.118423,101.6480817,Upper middle income,1.0,10060.0
3.1190067,101.6417805,Upper middle income,1.0,100406.0
3.1209046,101.6538414,Upper middle income,0.0,188301.0
3.1308376,101.6845925,Upper middle income,1.0,12643.0
3.142486,101.7094656,Upper middle income,1.0,9949.0
3.1483061,101.577132,Upper middle income,1.0,19568.0
3.1502363,101.6922628,Upper middle income,1.0,14662.0
3.1519373,101.6711449,Upper middle income,1.0,26533.0
3.1539573,101.5962903,Upper middle income,1.0,14649.0
3.1600511,101.6915864,Upper middle income,1.0,7626.0
3.160593,101.6997353,Upper middle income,1.0,92332.0
3.1621274,101.6955259,Upper middle income,1.0,15927.0
3.2009868,101.6135318,Upper middle income,1.0,15901.0
3.2161643,101.7290216,Upper middle income,1.0,75443.0
3.2504767,101.7346695,Upper middle income,0.0,105664.0
3.4157254,101.4379583,Upper middle income,1.0,27171.0
3.5305527,103.3850836,Upper middle income,1.0,10079.0
3.5436412,103.4288926,Upper middle income,0.0,33244.0
3.685019,101.524086,Upper middle income,0.0,65581.0
4.1695345,73.5090668,Upper middle income,1.0,1912.0
4.1707172,73.5091633,Upper middle income,0.0,33487.0
4.1728068,73.5120046,Upper middle income,1.0,3707.0
4.1750624,73.5089389,Upper middle income,1.0,1731.0
4.176015,73.515147,Upper middle income,0.0,8224.0
4.1761902,73.5089916,Upper middle income,1.0,3205.0
4.1774061,73.5094435,Upper middle income,1.0,4769.0
4.2984044,103.4768452,Upper middle income,1.0,15910.0
4.3400673,101.1429799,Upper middle income,1.0,107035.0
4.3837791,100.970918,Upper middle income,1.0,23986.0
4.3926373,-7.6914416,Low income,0.0,5498.0
4.5825732,101.0948848,Upper middle income,1.0,2698.0
4.7518325,100.9478626,Upper middle income,1.0,14654.0
4.7944228,6.3146324,Lower middle income,0.0,13087.0
4.7973504,6.9803172,Lower middle income,0.0,105217.0
4.7993706,8.2526002,Lower middle income,0.0,24220.0
4.8055797,6.9317626,Lower middle income,0.0,21703.0
4.9068824,6.9170023,Lower middle income,0.0,143981.0
4.9308025,8.330298,Lower middle income,0.0,77286.0
4.9539064,7.553704,Lower middle income,1.0,7851.0
4.9747118,6.1046353,Lower middle income,0.0,79018.0
5.000709,8.3479955,Lower middle income,0.0,154291.0
5.0102231,119.7474849,Lower middle income,1.0,26074.0
5.021384,7.9293855,Lower middle income,0.0,10494.0
5.0408218,7.919841,Lower middle income,0.0,121251.0
5.1433291,7.3408701,Lower middle income,1.0,7857.0
5.3559337,100.3025177,Upper middle income,0.0,153082.0
5.3926901,6.9861481,Lower middle income,0.0,101706.0
5.3988938,103.0774931,Upper middle income,0.0,33639.0
5.4051765,103.0876196,Upper middle income,0.0,55920.0
5.4728744,7.5479576,Lower middle income,0.0,9242.0
5.4977738,102.7883813,Upper middle income,1.0,14334.0
5.5077273,7.0404302,Lower middle income,0.0,104201.0
5.5657605,5.7803248,Lower middle income,0.0,21690.0
5.5837827,100.6428448,Upper middle income,1.0,16223.0
5.7219671,100.4804132,Upper middle income,1.0,9075.0
5.750057,6.2062709,Lower middle income,1.0,5587.0
5.7858416,6.1091232,Lower middle income,0.0,30432.0
5.9314277,6.8376089,Lower middle income,1.0,34849.0
5.9981127,5.6888094,Lower middle income,1.0,7851.0
6.0308627,116.1165023,Upper middle income,0.0,69399.0
6.0505351,-0.0078027,Lower middle income,1.0,9376.0
6.1136946,102.232872,Upper middle income,1.0,12644.0
6.1317758,8.1412983,Lower middle income,0.0,16340.0
6.1643222,102.2839821,Upper middle income,0.0,9432.0
6.1979526,7.0659347,Lower middle income,1.0,7857.0
6.1999118,6.894395,Lower middle income,1.0,7851.0
6.2458802,7.119894,Lower middle income,0.0,170101.0
6.2807283,5.5861406,Lower middle income,1.0,7857.0
6.2831849,5.6034151,Lower middle income,1.0,10736.0
6.2982239,6.9685826,Lower middle income,0.0,28298.0
6.2991374,-10.7950732,Low income,0.0,58999.0
6.3001514,-10.7957504,Low income,1.0,6822.0
6.3059357,7.5660717,Lower middle income,1.0,9347.0
6.3106163,-10.8011528,Low income,1.0,15895.0
6.3174463,-10.8048107,Low income,1.0,38651.0
6.341689,5.6264878,Lower middle income,1.0,21221.0
6.3460611,124.9922255,Lower middle income,1.0,28751.0
6.3859518,8.0114112,Lower middle income,0.0,78778.0
6.3997812,7.5246949,Lower middle income,0.0,145879.0
6.3998208,5.6098639,Lower middle income,0.0,212785.0
6.4209265,3.4112617,Lower middle income,0.0,36292.0
6.4343186,3.4094336,Lower middle income,0.0,84479.0
6.4484176,100.5096811,Upper middle income,0.0,126513.0
6.4611173,100.3465177,Upper middle income,0.0,38167.0
6.4685319,7.5264689,Lower middle income,1.0,6745.0
