University,latitude,longitude,Foundedin,incomegroup,Number of Student
Acharya N.G. Ranga Agricultural University,16.366531,80.4369431,1964.0,Lower middle income,42695
Acharya Nagarjuna University,16.3763357,80.5277117,1976.0,Lower middle income,18638
Achievers University,7.1688239,5.5891717,2007.0,Lower middle income,7851
Achmad Yani University,-6.8875181,107.5268526,1983.0,Upper middle income,38033
Achva Academic College,31.744109,34.774407,1971.0,High income,18074
Acibadem Mehmet Ali Aydinlar University,40.9784913,29.1103154,2007.0,Upper middle income,11899
Aclc College Of Butuan City,8.9442271,125.5274415,1986.0,Lower middle income,31449
Acmcl College,13.1729735,121.2741448,1993.0,Lower middle income,28764
Acsenda School Of Management - Vancouver,49.2850457,-123.1192174,2003.0,High income,5952
Acsi Business And Computer School,10.6954903,122.5697297,1984.0,Lower middle income,39218
Acts Computer College,14.2833727,121.4147121,1987.0,Lower middle income,31429
Actuarial Institute,50.8515021,4.3494414,2010.0,High income,5523
Adabiah School Of Administrative Sciences,-0.933518,100.3685798,1962.0,Upper middle income,10636
Adam Barka University Of Ab��Ch��,13.8227696,20.8067822,2003.0,Low income,5768
Adam Mickiewicz University In Poznan,52.4083974,16.9154021,1919.0,High income,354819
Adam University,42.8769926,74.5742925,1994.0,Lower middle income,5129
Adama General Hospital And Medical College,8.5608589,39.2827465,2012.0,Low income,11111
Adama Sanogo International Polytechnic School,5.4022562,-3.9994419,1999.0,Lower middle income,9172
Adama Sanogo University Of Abidjan,5.4023096,-3.9995545,2006.0,Lower middle income,7589
Adams State University,37.4746242,-105.8806504,1921.0,High income,41969
Adamson University,14.5866514,120.9859393,1932.0,Lower middle income,215841
Adana Alparslan Turkest Science And Technology University,37.0392206,35.3855228,2011.0,Upper middle income,29580
Adapt University,43.4722854,-80.5448576,2011.0,Lower middle income,6266
Addis Ababa Medical University College,9.0398397,38.7513677,2008.0,Low income,14194
Addis Ababa Science And Technology University,8.8851246,38.8097763,2011.0,Low income,15103
Addis Ababa University,9.0335063,38.7636817,1950.0,Low income,261188
Addis College,9.0290913,38.7956174,2000.0,Low income,146021
Addis Continental Institute Of Public Health,9.0285644,38.8774113,2006.0,Low income,12685
Adelaide Central School Of Art,-34.943625,138.6279111,1982.0,High income,22052
Adele Ann Yglesias School Of Physical Medicine And Rehabilitation Of The Abc Medical Centre,19.4136169,-99.186897,1954.0,Upper middle income,36183
Adhi Tama Instalute Of Technology Surabaya,-7.290843,112.7791493,1963.0,Upper middle income,81126
Adi Buana Pgri University,-7.2936173,112.7487997,1998.0,Upper middle income,43378
Adigrat University,14.2560922,39.465703,2011.0,Low income,33858
Adikaavi Nannaya University,17.0655469,81.8725957,2006.0,Lower middle income,19265
Adiong Memorial College Foundation,7.6833301,124.6829987,2002.0,Lower middle income,22440
Adiyaman University,37.74388,38.231283,2006.0,Upper middle income,44277
Adler University,41.8824688,-87.6291651,1952.0,High income,5975
Admas University,9.0235284,38.7864423,1998.0,Low income,18452
Admiral Makarov National University Of Shipbuilding,46.9870947,32.0011417,1920.0,Lower middle income,83558
Admiral Padilla Naval Academy Of Cadets,10.3905383,-75.5298536,1907.0,Upper middle income,38124
Admiral Ushakov Maritime State University,44.9365258,34.1341319,1975.0,Upper middle income,40090
Adolfo Ib����Ez University,-33.4884091,-70.518318,1953.0,High income,18722
Adolfo L��Pez Mateos University Studies Center,20.3498891,-102.7686,1991.0,Upper middle income,10854
Adona�� Institute Of Management Studies,6.3687616,2.4155502,2006.0,Lower middle income,11313
"Adops Advertising University, The Mub",43.6529936,-79.3912166,2002.0,Lower middle income,18400
Adrian College,41.8987054,-84.0592414,1859.0,High income,20457
Advanced Centre University Corporation,3.4583611,-76.5344544,1964.0,Upper middle income,25505
Advanced Institute Of Computer Science And Communication,43.7840347,-79.2331848,2010.0,Lower middle income,7642
Advanced Institute Of Management,4.0936125,9.7358933,1998.0,Lower middle income,10566
Advanced Professional Institute,-25.2921771,-57.6453146,2007.0,Upper middle income,8025
Advanced School Of Commerce,36.640033,2.786879,1900.0,Lower middle income,5248
Advanced Teachers' Training College,18.0946095,-15.973705,1970.0,Lower middle income,36247
Adventist College Of Technology,6.3460611,124.9922255,1994.0,Lower middle income,28751
Adventist Faculty Of Hortol��Ndia,-22.8769993,-47.226797,1949.0,Upper middle income,37266
Adventist Faculty Of Parana,-23.5440763,-52.1013815,2001.0,Upper middle income,22113
Adventist International Institute Of Advanced Studies,14.2041395,120.966733,1957.0,Lower middle income,49919
Adventist Technological Institute,8.3476514,123.8299026,2004.0,Lower middle income,26196
Adventist University Center Of S��O Paulo,-22.5035501,-47.1632735,1915.0,Upper middle income,38915
Adventist University Corporation,6.2408691,-75.6093514,1937.0,Upper middle income,6183
Adventist University Of Africa,-1.4028364,36.7283502,2005.0,Lower middle income,7663
Adventist University Of Bolivia,-17.3871414,-66.3172537,1928.0,Lower middle income,17495
Adventist University Of Central Africa,-1.9451934,30.1430941,1978.0,Low income,10615
Adventist University Of Chile,-36.6376612,-71.9966459,1906.0,High income,13712
Adventist University Of Indonesia,-6.8018944,107.5785159,1948.0,Upper middle income,10338
Adventist University Of Nicaragua,12.0843875,-86.344767,2003.0,Lower middle income,29262
Adventist University Of Paraguay,-25.3046177,-57.6117481,2009.0,Upper middle income,9328
Adventist University Of The Philippines,14.219399,121.0370033,1917.0,Lower middle income,26205
Adygeja State University,53.3482087,83.7757878,1940.0,Upper middle income,105542
Aemilianum Institute,12.9710429,123.9946335,1985.0,Lower middle income,39178
Aeres University Of Applied Sciences,51.9861194,5.6722,1965.0,High income,32796
Aeronautical Academy Of The Philippines,13.6535843,123.1806689,1998.0,Lower middle income,30098
Aeronautical And Space Institute,43.5655361,1.474008,2007.0,High income,8993
Afeka Tel Aviv Academic College Of Engineering,32.1149152,34.8181039,1996.0,High income,12326
Africa Before University College,8.9631768,38.7781448,1998.0,Low income,18452
Africa Formation,5.2912495,-3.9721807,1999.0,Lower middle income,10563
Africa International University,-1.3127313,36.6796821,1983.0,Lower middle income,10715
Africa Nazarene University,-1.3997805,36.7887539,1993.0,Lower middle income,9372
Africa University,-18.8967925,32.6013218,1988.0,Lower middle income,5837
African Bible University,0.2410963,32.564848,2005.0,Low income,5365
African Centre For Management And Professional Upgrading,5.3437467,-3.98506,1970.0,Lower middle income,38431
African Centre For Management Studies,14.6814908,-17.4424343,1985.0,Lower middle income,16630
African Institute Of Administration And Business Studies,6.1707353,1.2157493,1986.0,Low income,9172
African International Bilingual University,5.3799314,-3.9859718,1999.0,Lower middle income,10883
African Lasallian Centre,5.3599517,-4.0082563,1991.0,Lower middle income,11612
African Management Institute,14.7051309,-17.4730964,1996.0,Lower middle income,5273
African Methodist Episcopal University,6.3106163,-10.8011528,1995.0,Low income,15895
African Muslim University,5.3711007,-3.9658509,2007.0,Lower middle income,7593
African School Of Architecture And Town Planning,6.1608666,1.2190747,1975.0,Low income,6487
African School Of Meteorology And Civil Aviation,13.5229623,2.1054483,1963.0,Low income,8833
African University Of Technology And Management,6.3600771,2.413287,1997.0,Lower middle income,18362
Afta Bapolate University,7.6066168,5.3074265,2009.0,Lower middle income,7857
Afyon Kocatepe University,38.8121837,30.5350777,1992.0,Upper middle income,135192
Aga Khan University,24.8920491,67.0735131,1983.0,Lower middle income,9126
Agh University Of Science And Technology In Krak��W,50.0668858,19.9136192,1919.0,High income,215186
Agitel - Training Institute,5.3643818,-3.9558068,1989.0,Lower middle income,10794
Agnes Scott College,33.7685056,-84.2945346,1889.0,High income,10959
Ago Foundation College,13.6210583,123.2128303,1985.0,Lower middle income,33686
Ago Medical And Educational Center - Bicol Christian College Of Medicine,13.1396837,123.7308807,1975.0,Lower middle income,37160
Agoncillo College,13.934817,120.9288239,2006.0,Lower middle income,18331
Agoo Computer College Phils.,16.3216496,120.3534517,1987.0,Lower middle income,31429
Agrarian University Foundation Of Colombia,4.7542802,-74.0533574,1985.0,Upper middle income,21949
Agrarian University Of Ecuador,-2.2399834,-79.8943839,1992.0,Upper middle income,19120
Agrhymet Regional Centre,13.4973907,2.1008778,1974.0,Low income,10474
Agricultural College Benteng Huraba,1.3865001,99.2659886,1986.0,Upper middle income,7615
Agricultural College Stalls,5.5451412,120.8227386,1916.0,Lower middle income,64493
Agricultural Training Institute Adolfo Matthei,-40.5900093,-73.1100406,1932.0,High income,35590
Agricultural University Of Georgia,33.9475215,-83.3738471,1919.0,Upper middle income,56872
Agricultural University Of Hebei,38.850606,115.483441,1902.0,Upper middle income,228402
Agricultural University Of Tirana,41.3615567,19.769577,1951.0,Upper middle income,58944
Agro Institute - Agrocampus West,48.113544,-1.7053078,1999.0,High income,8417
Agro-Industrial Foundation College Of The Philippines - Davao,7.0546977,125.6028924,1978.0,Lower middle income,35563
"Agus Salim Institute Of Islamic Studies, Metro",-5.1164337,105.3068431,1998.0,Upper middle income,6435
Agusan Business And Arts Foundation,8.935827,125.537504,1983.0,Lower middle income,39257
Agusan Colleges.,8.9468918,125.5450511,1951.0,Lower middle income,40751
Agusan Del Sur College,8.7155233,125.7449124,1966.0,Lower middle income,38684
Agusan Del Sur State College Of Agriculture And Technology,8.1692546,126.0035237,1908.0,Lower middle income,65117
Agusan Institute Of Technology,8.9557492,125.5410888,1985.0,Lower middle income,39178
Ahfad University For Women,15.6447752,32.4711811,1907.0,Low income,26861
Ahl Al Bayt University,32.6413772,43.994524,2000.0,Upper middle income,19441
Ahlia University,26.236486,50.5927401,2001.0,High income,9294
"Ahmad Dahlan College Of Economics, Jakarta",-6.2959666,106.7661743,2001.0,Upper middle income,15878
Ahmad Dahlan University,-7.7987736,110.3830924,1960.0,Upper middle income,96855
Ahmadu Beautiful University,11.1307574,7.6914631,1962.0,Lower middle income,264084
Ahmed Ben Bella University Of Oran 1,35.6373208,-0.6150587,1961.0,Lower middle income,230356
Ahmed Ben Yahia El Wanchharissi University Center Of Tissemsilt,35.5986586,1.8240708,2005.0,Lower middle income,20320
Ahmed Zabana University Of R��Lizane,35.7053145,0.5772543,2008.0,Lower middle income,19028
Ahmedabad University,23.0397399,72.5549881,2009.0,Lower middle income,6245
Ahram Canadian University,29.9361959,30.8836681,2004.0,Lower middle income,8459
Ahsanullah University Of Science And Technology,23.763822,90.4066738,1995.0,Lower middle income,24462
Ahvaz Jundishapour University Of Medical Sciences,31.2973383,48.6503443,1955.0,Upper middle income,38000
Aichi Bunkyo University,35.300509,137.008092,1998.0,High income,6781
Aichi Gakuin University,35.1612097,137.0471693,1876.0,High income,119796
Aichi Institute Of Technology,35.1834122,137.1130419,1912.0,High income,45255
Aichi Medical University,35.1930044,137.0495331,1971.0,High income,9646
Aichi Mizuho College,35.1272839,136.9218465,1993.0,High income,7752
Aichi Prefectural University,35.1814098,137.0881731,1947.0,High income,25788
Aichi Prefectural University Of Fine Arts And Music,35.1685042,137.068973,1966.0,High income,8175
Aichi Sangyo University,34.9204942,137.222171,1948.0,High income,12240
Aichi Shukutoku University,35.1573669,137.0314337,1975.0,High income,76229
Aichi University,34.740033,137.3882928,1946.0,High income,143917
Aichi University Of Education,35.0517947,137.0504008,1873.0,High income,39379
Aiep Professional Institute,-33.4324497,-70.6492488,1989.0,High income,30585
Aikoku Gakuen University,35.6663418,140.1600178,1998.0,High income,6781
Aimst University,5.7219671,100.4804132,2001.0,Upper middle income,9075
Ain Shams University,30.0770352,31.2851059,1950.0,Lower middle income,1452111
Aino University,34.8426937,135.5827431,2004.0,High income,5707
Air Force Academy Named After Professor N.E. Zhukovsky And Yu.A. Gagarin,51.6399054,39.1800781,1950.0,Upper middle income,42654
Air Link International Aviation College,14.5208125,121.0013292,1984.0,Lower middle income,12792
Air University,33.713832,73.024654,2001.0,Lower middle income,12504
Air University,33.713832,73.024654,2002.0,Lower middle income,8580
Air University,34.4755224,69.1264538,2009.0,Low income,6933
Air-Force Institute Of Technology,10.6090679,7.4402165,1977.0,Lower middle income,24250
Airlangga University,-7.2720872,112.7587061,1954.0,Upper middle income,194046
Ais St Helens,-36.8735583,174.7208374,1990.0,High income,6340
Aisect University,23.9968662,85.3755223,2010.0,Lower middle income,11545
Ajayi Crowther University,7.849614,3.9479533,2005.0,Lower middle income,9347
Akad University Of Applied Sciences In Stuttgart,48.7926906,9.1821334,1959.0,High income,38290
Akbp-Stie Kbp School Of Finance And Banking,-0.9149481,100.3584638,1985.0,Upper middle income,8874
Akita Prefectural University,39.8008319,140.0462458,1999.0,High income,8741
Akita University Of Nursing And Welfare,40.280656,140.553414,1995.0,High income,7742
Akita University.,39.727704,140.1335391,1949.0,High income,52940
"Akkamahadevi Women'S University, Vijayapura",16.8306975,75.6405417,2003.0,Lower middle income,73799
Aklan Catholic College,11.7100372,122.3630599,1945.0,Lower middle income,41099
Aklan Polytechnic Institute,11.7017694,122.3675122,1986.0,Lower middle income,36519
Aklan State University.,11.6330935,122.3291748,1918.0,Lower middle income,62767
Akli Mohand Oulhad University Of Bouira,36.3816552,3.8932162,2005.0,Lower middle income,61326
Akmeshit Institute For The Humanities And Technology,42.9050946,69.6716238,2009.0,Upper middle income,7321
Akprind Institute Of Science And Technology,-7.784713,110.3856153,1972.0,Upper middle income,56456
Aksaray University,38.3251308,33.9776309,2006.0,Upper middle income,64345
Aksum University,14.1063277,38.7078793,2007.0,Low income,31351
Akwa Ibom State University,5.021384,7.9293855,1983.0,Lower middle income,10494
Al Aasiya University Of Nouakchott,18.0889146,-15.9690927,1981.0,Lower middle income,58887
Al Ain University,24.240762,55.740842,2004.0,High income,10403
Al Akhawayn University,33.5274864,-5.1049842,1993.0,Lower middle income,8028
Al Al-Bayt University,32.333062,36.2410645,1992.0,Upper middle income,59675
Al Andalus University For Medical Sciences,35.0989528,36.1872789,2005.0,Low income,50679
Al Baha Private College Of Science,20.0403906,41.4726971,2001.0,High income,16642
Al Buraimi University College,24.2363831,55.8966213,2003.0,High income,7055
Al Dakhiliya Nursing Institute,22.9124174,57.5346033,1997.0,High income,13452
Al Dhahira Nursing Institute,23.2290696,56.4280062,1996.0,High income,13449
Al Furat Al Awsat Technical University,32.0106646,44.3265272,2014.0,Upper middle income,39902
Al Gazali School Of Administrative Sciences - Barru,-6.226738,106.801298,1968.0,Upper middle income,10324
Al Gazali Soppeng College Of Administrative Sciences,-4.3437232,119.8815383,1979.0,Upper middle income,8603
Al Ghurair University,25.1105046,55.4069281,1999.0,High income,8192
Al Mughtaribeen University,15.5281,32.5326144,2010.0,Low income,5196
Al Musanna College Of Technology,23.7431694,57.5779282,1993.0,High income,17938
Al Muslim University,5.1937481,96.7891383,2003.0,Upper middle income,5732
Al Rustaq Nursing Institute,23.4856442,57.46032,1994.0,High income,14327
Al Yamamah University,24.8625975,46.5918403,2001.0,High income,6839
Al Zahra College For Women,23.6128639,58.4846114,1999.0,High income,7823
Al Zawiya University,32.7629233,12.7476307,1988.0,Upper middle income,64599
Al-Ahgaff University,14.4865851,49.0440148,1994.0,Low income,13473
Al-Ahliyya Amman University,32.0469878,35.7794795,1990.0,Upper middle income,29107
Al-Aqsa University,31.5108867,34.4407764,1991.0,Lower middle income,78170
Al-Arab Medical University,32.0744201,20.0997236,1984.0,Upper middle income,17884
Al-Asyariah Mandar University,-3.4041967,119.3055981,2004.0,Upper middle income,5732
Al-Azhar Islamic University Of Mataram,-8.606907,116.1441869,1980.0,Upper middle income,9000
Al-Azhar University,30.044522,31.2638223,1961.0,Lower middle income,1580963
Al-Azhar University - Gaza,31.5145256,34.4404762,1991.0,Lower middle income,76084
Al-Azhar University Of Indonesia,-6.2350579,106.7993457,2000.0,Upper middle income,5277
Al-Azhar University Of Medan,3.5285028,98.6508356,1983.0,Upper middle income,8557
Al-Baath University,34.7129276,36.7096507,1979.0,Low income,156427
Al-Balqa Applied University,32.0249589,35.7167936,1996.0,Upper middle income,184090
Al-Butana University,29.188697,76.6225577,2010.0,Low income,17813
Al-Farabi Kazakh National University,43.2252602,76.9225805,1934.0,Upper middle income,167291
Al-Ghad International College For Applied Medical Sciences In Abha,18.2301277,42.4890121,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Al-Madinah Al-Munawwarah,24.4891044,39.6051979,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Dammam,26.450518,50.0832206,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Jeddah,21.5578738,39.2323226,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Qassim,26.3688038,43.9618772,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Riyadh,24.6481857,46.6650695,2009.0,High income,13519
Al-Ghad International College For Applied Medical Sciences In Tabuk,28.4063746,36.5518451,2009.0,High income,13519
Al-Ghifari University,-6.933428,107.679369,2002.0,Upper middle income,5733
Al-Hadbaa University College,36.344629,43.144598,1994.0,Upper middle income,9316
Al-Hawash Private University,34.7803947,36.3309717,2007.0,Low income,40547
Al-Hikmah College Of Economics,-6.2472314,106.8175063,1991.0,Upper middle income,6953
Al-Hikmah College Of Law,3.5963064,98.7288238,1998.0,Upper middle income,6170
Al-Hikmah University,8.4824422,4.5056489,2005.0,Lower middle income,9030
Al-Hilla University College,32.3941029,44.3987876,2010.0,Upper middle income,5709
Al-Hussein Bin Talal University,30.2671052,35.6784958,1999.0,Upper middle income,12871
Al-Hussein University College,32.6000767,44.1081295,2010.0,Upper middle income,5709
Al-Imam Mohammad Ibn Saud Islamic University,24.8113861,46.7012672,1953.0,High income,335957
Al-Iraqia University,33.366286,44.3598952,1989.0,Upper middle income,32312
Al-Ittihad University,35.8917044,39.0040703,2003.0,Low income,50662
Al-Jabal Al Gharbi University,31.8491552,10.98521,1991.0,Upper middle income,62827
Al-Karkh University Of Science,33.3421119,44.3741432,2014.0,Upper middle income,15809
Al-Khoziny Institute Of Islamic Studies,-7.4287425,112.7269927,2000.0,Upper middle income,6429
Al-Maarif University College (Auc),33.4308844,43.3373116,1993.0,Upper middle income,9321
Al-Madinah International University,3.0836887,101.7004447,2008.0,Upper middle income,10274
Al-Mansour University College,33.3150552,44.4283774,1988.0,Upper middle income,13754
Al-Mustafa International University,34.6338674,50.8823032,1986.0,Upper middle income,129258
Al-Mustansiriyah University,33.3672904,44.4035716,1963.0,Upper middle income,306550
Al-Mustaqbal University College,32.3938648,44.3980875,2010.0,Upper middle income,5709
Al-Muthanna University,31.3375263,45.2897761,2007.0,Upper middle income,20489
Al-Nahrain University,33.2793713,44.3781099,1987.0,Upper middle income,6803
Al-Neelain University,15.6025866,32.5145323,1955.0,Low income,34534
Al-Nisour University College,33.3033269,44.355433,2012.0,Upper middle income,6151
