University,latitude,longitude,Foundedin,incomegroup,private01,Number of Student
Academy Of Economic Studies Of Moldova,47.0307401,28.8375592,1991.0,Lower middle income,0.0,75993.0
"Academy Of Finance, Vietnam",21.0753988,105.7728384,1963.0,Lower middle income,0.0,30791.0
Academy Of Music In Krak��W,50.0617184,19.9432165,1888.0,High income,0.0,30176.0
Academy Of The Federal Security Service Of The Russian Federation,38.9240417,-77.0744142,1921.0,Upper middle income,0.0,44391.0
Academy Of The Ministry Of Internal Affairs Of The Republic Of Belarus,53.9121062,27.5764513,1958.0,Upper middle income,0.0,117261.0
Acadia University,45.0875592,-64.3662493,1838.0,High income,0.0,39767.0
Access Computer And Technical College,14.6298372,121.0701042,1981.0,Lower middle income,1.0,33805.0
Acharya N.G. Ranga Agricultural University,16.366531,80.4369431,1964.0,Lower middle income,0.0,42695.0
Achmad Yani University,-6.8875181,107.5268526,1983.0,Upper middle income,1.0,38033.0
Aclc College Of Butuan City,8.9442271,125.5274415,1986.0,Lower middle income,1.0,31449.0
Acsi Business And Computer School,10.6954903,122.5697297,1984.0,Lower middle income,1.0,39218.0
Acts Computer College,14.2833727,121.4147121,1987.0,Lower middle income,1.0,31429.0
Adam Mickiewicz University In Poznan,52.4083974,16.9154021,1919.0,High income,0.0,354819.0
Adams State University,37.4746242,-105.8806504,1921.0,High income,0.0,41969.0
Adamson University,14.5866514,120.9859393,1932.0,Lower middle income,1.0,215841.0
Addis Ababa University,9.0335063,38.7636817,1950.0,Low income,0.0,261188.0
Addis College,9.0290913,38.7956174,2000.0,Low income,1.0,146021.0
Adele Ann Yglesias School Of Physical Medicine And Rehabilitation Of The Abc Medical Centre,19.4136169,-99.186897,1954.0,Upper middle income,1.0,36183.0
Adhi Tama Instalute Of Technology Surabaya,-7.290843,112.7791493,1963.0,Upper middle income,1.0,81126.0
Adi Buana Pgri University,-7.2936173,112.7487997,1998.0,Upper middle income,1.0,43378.0
Adigrat University,14.2560922,39.465703,2011.0,Low income,0.0,33858.0
Adiyaman University,37.74388,38.231283,2006.0,Upper middle income,0.0,44277.0
Admiral Makarov National University Of Shipbuilding,46.9870947,32.0011417,1920.0,Lower middle income,0.0,83558.0
Admiral Padilla Naval Academy Of Cadets,10.3905383,-75.5298536,1907.0,Upper middle income,0.0,38124.0
Admiral Ushakov Maritime State University,44.9365258,34.1341319,1975.0,Upper middle income,0.0,40090.0
Advanced Teachers' Training College,18.0946095,-15.973705,1970.0,Lower middle income,0.0,36247.0
Adventist Faculty Of Hortol��Ndia,-22.8769993,-47.226797,1949.0,Upper middle income,1.0,37266.0
Adventist International Institute Of Advanced Studies,14.2041395,120.966733,1957.0,Lower middle income,1.0,49919.0
Adventist University Center Of S��O Paulo,-22.5035501,-47.1632735,1915.0,Upper middle income,1.0,38915.0
Adygeja State University,53.3482087,83.7757878,1940.0,Upper middle income,0.0,105542.0
Aemilianum Institute,12.9710429,123.9946335,1985.0,Lower middle income,1.0,39178.0
Aeres University Of Applied Sciences,51.9861194,5.6722,1965.0,High income,0.0,32796.0
Aeronautical Academy Of The Philippines,13.6535843,123.1806689,1998.0,Lower middle income,1.0,30098.0
African Centre For Management And Professional Upgrading,5.3437467,-3.98506,1970.0,Lower middle income,0.0,38431.0
Afyon Kocatepe University,38.8121837,30.5350777,1992.0,Upper middle income,0.0,135192.0
Agh University Of Science And Technology In Krak��W,50.0668858,19.9136192,1919.0,High income,0.0,215186.0
Ago Foundation College,13.6210583,123.2128303,1985.0,Lower middle income,1.0,33686.0
Ago Medical And Educational Center - Bicol Christian College Of Medicine,13.1396837,123.7308807,1975.0,Lower middle income,1.0,37160.0
Agoo Computer College Phils.,16.3216496,120.3534517,1987.0,Lower middle income,1.0,31429.0
Agricultural College Stalls,5.5451412,120.8227386,1916.0,Lower middle income,0.0,64493.0
Agricultural Training Institute Adolfo Matthei,-40.5900093,-73.1100406,1932.0,High income,1.0,35590.0
Agricultural University Of Georgia,33.9475215,-83.3738471,1919.0,Upper middle income,0.0,56872.0
Agricultural University Of Hebei,38.850606,115.483441,1902.0,Upper middle income,0.0,228402.0
Agricultural University Of Tirana,41.3615567,19.769577,1951.0,Upper middle income,0.0,58944.0
Agro-Industrial Foundation College Of The Philippines - Davao,7.0546977,125.6028924,1978.0,Lower middle income,1.0,35563.0
Agusan Business And Arts Foundation,8.935827,125.537504,1983.0,Lower middle income,1.0,39257.0
Agusan Colleges.,8.9468918,125.5450511,1951.0,Lower middle income,1.0,40751.0
Agusan Del Sur College,8.7155233,125.7449124,1966.0,Lower middle income,1.0,38684.0
Agusan Del Sur State College Of Agriculture And Technology,8.1692546,126.0035237,1908.0,Lower middle income,0.0,65117.0
Agusan Institute Of Technology,8.9557492,125.5410888,1985.0,Lower middle income,1.0,39178.0
Ahmad Dahlan University,-7.7987736,110.3830924,1960.0,Upper middle income,1.0,96855.0
Ahmadu Beautiful University,11.1307574,7.6914631,1962.0,Lower middle income,0.0,264084.0
Ahmed Ben Bella University Of Oran 1,35.6373208,-0.6150587,1961.0,Lower middle income,0.0,230356.0
Ahvaz Jundishapour University Of Medical Sciences,31.2973383,48.6503443,1955.0,Upper middle income,0.0,38000.0
Aichi Gakuin University,35.1612097,137.0471693,1876.0,High income,1.0,119796.0
Aichi Institute Of Technology,35.1834122,137.1130419,1912.0,High income,1.0,45255.0
Aichi Shukutoku University,35.1573669,137.0314337,1975.0,High income,1.0,76229.0
Aichi University,34.740033,137.3882928,1946.0,High income,1.0,143917.0
Aichi University Of Education,35.0517947,137.0504008,1873.0,High income,0.0,39379.0
Aiep Professional Institute,-33.4324497,-70.6492488,1989.0,High income,1.0,30585.0
Ain Shams University,30.0770352,31.2851059,1950.0,Lower middle income,0.0,1452111.0
Air Force Academy Named After Professor N.E. Zhukovsky And Yu.A. Gagarin,51.6399054,39.1800781,1950.0,Upper middle income,0.0,42654.0
Airlangga University,-7.2720872,112.7587061,1954.0,Upper middle income,0.0,194046.0
Akad University Of Applied Sciences In Stuttgart,48.7926906,9.1821334,1959.0,High income,1.0,38290.0
Akita University.,39.727704,140.1335391,1949.0,High income,0.0,52940.0
"Akkamahadevi Women'S University, Vijayapura",16.8306975,75.6405417,2003.0,Lower middle income,0.0,73799.0
Aklan Catholic College,11.7100372,122.3630599,1945.0,Lower middle income,1.0,41099.0
Aklan Polytechnic Institute,11.7017694,122.3675122,1986.0,Lower middle income,1.0,36519.0
Aklan State University.,11.6330935,122.3291748,1918.0,Lower middle income,0.0,62767.0
Akli Mohand Oulhad University Of Bouira,36.3816552,3.8932162,2005.0,Lower middle income,0.0,61326.0
Akprind Institute Of Science And Technology,-7.784713,110.3856153,1972.0,Upper middle income,1.0,56456.0
Aksaray University,38.3251308,33.9776309,2006.0,Upper middle income,0.0,64345.0
Aksum University,14.1063277,38.7078793,2007.0,Low income,0.0,31351.0
Al Aasiya University Of Nouakchott,18.0889146,-15.9690927,1981.0,Lower middle income,0.0,58887.0
Al Al-Bayt University,32.333062,36.2410645,1992.0,Upper middle income,0.0,59675.0
Al Andalus University For Medical Sciences,35.0989528,36.1872789,2005.0,Low income,1.0,50679.0
Al Furat Al Awsat Technical University,32.0106646,44.3265272,2014.0,Upper middle income,0.0,39902.0
Al Zawiya University,32.7629233,12.7476307,1988.0,Upper middle income,0.0,64599.0
Al-Aqsa University,31.5108867,34.4407764,1991.0,Lower middle income,0.0,78170.0
Al-Azhar University,30.044522,31.2638223,1961.0,Lower middle income,0.0,1580963.0
Al-Azhar University - Gaza,31.5145256,34.4404762,1991.0,Lower middle income,0.0,76084.0
Al-Baath University,34.7129276,36.7096507,1979.0,Low income,0.0,156427.0
Al-Balqa Applied University,32.0249589,35.7167936,1996.0,Upper middle income,0.0,184090.0
Al-Farabi Kazakh National University,43.2252602,76.9225805,1934.0,Upper middle income,0.0,167291.0
Al-Hawash Private University,34.7803947,36.3309717,2007.0,Low income,1.0,40547.0
Al-Imam Mohammad Ibn Saud Islamic University,24.8113861,46.7012672,1953.0,High income,0.0,335957.0
Al-Iraqia University,33.366286,44.3598952,1989.0,Upper middle income,0.0,32312.0
Al-Ittihad University,35.8917044,39.0040703,2003.0,Low income,1.0,50662.0
Al-Jabal Al Gharbi University,31.8491552,10.98521,1991.0,Upper middle income,0.0,62827.0
Al-Mustafa International University,34.6338674,50.8823032,1986.0,Upper middle income,1.0,129258.0
Al-Mustansiriyah University,33.3672904,44.4035716,1963.0,Upper middle income,0.0,306550.0
Al-Neelain University,15.6025866,32.5145323,1955.0,Low income,0.0,34534.0
Al-Qadisiya University,32.0038821,44.8806202,1988.0,Upper middle income,0.0,55254.0
Al-Quds Open University,31.9200561,35.2076317,1985.0,Lower middle income,0.0,248687.0
Al-Quds University,31.7557584,35.2600622,1984.0,Lower middle income,0.0,47904.0
Al-Zaiem Al-Azhari University,15.6376977,32.5267873,1993.0,Low income,0.0,38244.0
Al-Zaytoonah University Of Jordan,31.832817,35.8925197,1993.0,Upper middle income,1.0,41680.0
Alabama Agricultural And Mechanical University,34.7838409,-86.5722237,1875.0,High income,0.0,59350.0
Alabama State University,32.3636575,-86.2940174,1867.0,High income,0.0,60024.0
Alagoas State University Of Health Sciences,-9.6736034,-35.7587505,1970.0,Upper middle income,0.0,57133.0
Alassane Ouattara University,7.6864226,-5.0667005,1992.0,Lower middle income,0.0,101927.0
Albaha University,20.0417676,41.4466086,2006.0,High income,0.0,57853.0
Albay Institute Of Technology,13.2338567,123.533417,1993.0,Lower middle income,1.0,33457.0
Aldersgate College,16.5144081,121.1824091,1965.0,Lower middle income,1.0,39592.0
Alecu Russo State University Of Balti,47.7544274,27.9215757,1945.0,Lower middle income,0.0,86764.0
Alejandro Colleges,14.7245572,121.0353443,1986.0,Lower middle income,1.0,31449.0
Aleksand��R Moisiu University Of Durr��S,41.3133614,19.4342029,2005.0,Upper middle income,0.0,31061.0
Alemarz School Of Science And Technology,7.9052801,125.0910034,1972.0,Lower middle income,1.0,43507.0
Alexandria University,31.2105711,29.9130705,1942.0,Lower middle income,0.0,1261367.0
Alexandru Ioan Cuza University Of Iasi,47.1741385,27.5722978,1860.0,High income,0.0,217180.0
Alfelor Sr. Memorial College,13.920529,122.5929322,1985.0,Lower middle income,1.0,33686.0
Alfonso Cravioto Institute Of Advanced Teaching,19.3471156,-99.0580691,1993.0,Upper middle income,1.0,31304.0
Alfonso X El Sabio University,40.4685908,-4.0084958,1993.0,High income,1.0,61361.0
Algebra University College,45.8149922,15.9449253,1998.0,High income,1.0,57338.0
Algonquin College,45.3499278,-75.7549368,1957.0,High income,0.0,133439.0
Aligagag College,13.866288,121.0052549,1948.0,Lower middle income,1.0,40924.0
Aligarh Muslim University,27.9135016,78.0781901,1875.0,Lower middle income,0.0,198164.0
All-Russian Distance Education Institute Of Finance And Economics,43.6609086,-79.3959518,1930.0,Upper middle income,0.0,43942.0
All-Russian State University Of Justice,55.7711218,37.6171001,1970.0,Upper middle income,0.0,41842.0
Allama Iqbal Open University,33.684798,73.055856,1974.0,Lower middle income,0.0,1940018.0
Allameh Tairy'I University,35.7595726,51.2602973,1957.0,Upper middle income,0.0,119901.0
Allende Institute,20.9095424,-100.7468459,1937.0,Upper middle income,1.0,34776.0
Almaty Technological University,43.252867,76.9273043,1952.0,Upper middle income,0.0,82845.0
Almaty University Of Power Engineering And Telecommunications Named After Gumarbeka Daukeeva,43.2345061,76.9311141,1975.0,Upper middle income,0.0,45381.0
Alpha And Omega Institute Of Higher Education,17.9829351,-92.9363146,1994.0,Upper middle income,1.0,31287.0
Altai State Humanitarian Pedagogical University Named After V.M. Shukshin,52.5370767,85.195055,1933.0,Upper middle income,0.0,78036.0
Altai State Institute Of Culture,53.368294,83.684181,1974.0,Upper middle income,0.0,37986.0
Altai State Medical University,53.3426559,83.7834162,1954.0,Upper middle income,0.0,41677.0
Altai State Pedagogical University,53.341733,83.760878,1933.0,Upper middle income,0.0,46242.0
Altai State University,53.3482087,83.7757878,1973.0,Upper middle income,0.0,94600.0
Altai State University Of Agriculture,53.338495,83.772816,1943.0,Upper middle income,0.0,81732.0
Alzahra University,35.768276,51.3925806,1964.0,Upper middle income,0.0,55636.0
Ama Computer University,14.665306,121.0125244,1987.0,Lower middle income,1.0,706382.0
Amar Telidji University Of Laghouat,33.7960244,2.8495196,1986.0,Lower middle income,0.0,57747.0
Amasya University,40.6536327,35.8057732,2006.0,Upper middle income,0.0,38163.0
Ambo University,8.98225,37.8447859,1939.0,Low income,0.0,50595.0
Ambrose Alli University,6.7380621,6.0798099,1981.0,Lower middle income,0.0,106516.0
American International College,42.1129218,-72.5573236,1885.0,High income,1.0,33502.0
American International University-Bangladesh,23.8221242,90.4274063,1994.0,Lower middle income,1.0,34046.0
American University,38.9379851,-77.0888687,1893.0,High income,1.0,170332.0
American University Of Beirut,33.9008359,35.480744,1866.0,Upper middle income,1.0,74072.0
Amikom University Of Yogyakarta,-7.7599049,110.4090461,2010.0,Upper middle income,1.0,32378.0
Amirkabir University Of Technology,35.7031972,51.4095662,1958.0,Upper middle income,0.0,73836.0
"Amity University, Uttar Pradesh",28.5439106,77.3331085,1986.0,Lower middle income,1.0,126659.0
Amrita University (Deemed To Be University),10.9026791,76.9006279,1994.0,Lower middle income,1.0,76779.0
Amur State Medical Academy,50.265485,127.546109,1952.0,Upper middle income,0.0,42377.0
Amur State University,50.2985218,127.5101682,1975.0,Upper middle income,0.0,56722.0
Amur State University Of Humanities And Pedagogy,50.5394262,137.0295199,1954.0,Upper middle income,0.0,44773.0
An Giang University,10.3716558,105.4323389,1999.0,Lower middle income,0.0,45058.0
An-Najah National University,32.2275396,35.2206096,1918.0,Lower middle income,1.0,99907.0
Anadolu University,39.789626,30.5006587,1958.0,Upper middle income,0.0,3635574.0
Andalas University,-0.9152838,100.4579457,1956.0,Upper middle income,0.0,150793.0
Andhra University,17.7326441,83.3334095,1926.0,Lower middle income,0.0,881785.0
Andijan State University,40.7881207,72.3726618,1931.0,Lower middle income,0.0,48181.0
Andong National University,36.5426215,128.7973055,1947.0,High income,0.0,67576.0
Andres Bonifacio College,8.5813446,123.3404693,1940.0,Lower middle income,1.0,35092.0
Andres Eloy Blanco Territorial Polytechnic University Of Lara State,10.0508695,-69.3630052,2010.0,Upper middle income,0.0,44595.0
Andres Incorporated Higher Teacher Training School Of Quintana Roo,21.1645823,-86.872082,1997.0,Upper middle income,1.0,30081.0
Andres Soriano College,8.1838453,126.3582698,1951.0,Lower middle income,1.0,40751.0
Andrews University,41.9646127,-86.3594661,1874.0,High income,1.0,35243.0
Andrey Krupynski Lviv Institute Of Nursing And Laboratory Medicine,49.8359065,24.0193534,1773.0,Lower middle income,0.0,42792.0
Andr��S Beautiful Catholic University,10.4642419,-66.9758122,1953.0,Upper middle income,1.0,122345.0
Andr��S Beautiful University,-33.451589,-70.667288,1988.0,High income,1.0,240491.0
Angarsk State Technical University,52.527587,103.8651835,1991.0,Upper middle income,0.0,30631.0
Angel Kanchev University Of Ruse,43.8545844,25.9701052,1945.0,Upper middle income,0.0,79467.0
Angeles Systems Plus Computer College,15.1580519,120.5924119,1985.0,Lower middle income,1.0,33686.0
Angeles University Foundation,15.1457083,120.5946371,1962.0,Lower middle income,1.0,75578.0
Angelic College,14.6276102,121.0100487,1972.0,Lower middle income,1.0,37292.0
Angkor University,13.350539,103.892415,1993.0,Lower middle income,1.0,56567.0
Anglo-American Integrated Faculties,-23.001086,-43.352867,1973.0,Upper middle income,1.0,34454.0
Anhalt University Of Applied Sciences,51.823591,11.7072939,1891.0,High income,0.0,39350.0
Anhui Agricultural University,31.860048,117.257372,1928.0,Upper middle income,0.0,190481.0
Anhui Jianzhu University,31.744043,117.223665,1958.0,Upper middle income,0.0,76756.0
Anhui Medical University,31.8494,117.26274,1926.0,Upper middle income,0.0,68711.0
Anhui Normal University,31.284916,118.380545,1928.0,Upper middle income,0.0,154141.0
Anhui Polytechnic University,31.33882,118.41154,1935.0,Upper middle income,0.0,75328.0
Anhui Science And Technology University,44.435209,-65.213655,1950.0,Upper middle income,0.0,64845.0
Anhui University,31.768001,117.179546,1928.0,Upper middle income,0.0,182131.0
Anhui University Of Finance And Economics,32.924116,117.395903,1959.0,Upper middle income,0.0,91636.0
Anhui University Of Science And Technology,32.633459,117.012485,1945.0,Upper middle income,0.0,77531.0
Anhui University Of Technology,31.692956,118.510711,1958.0,Upper middle income,0.0,73102.0
Ankang University,32.685316,109.033468,1958.0,Upper middle income,0.0,41123.0
Ankara University,39.934855,32.8338615,1946.0,Upper middle income,0.0,60425.0
Ankara Yildirim Whiteit University,39.9720089,32.825122,2010.0,Upper middle income,0.0,37899.0
Anna University,13.0108831,80.2353768,1978.0,Lower middle income,0.0,80239.0
Annamalai University,43.7691727,-79.267178,1929.0,Lower middle income,0.0,159427.0
Anqing Normal University,30.514224,117.048042,1928.0,Upper middle income,0.0,82676.0
Anshan Normal University Liaoning China,41.079017,122.995782,1958.0,Upper middle income,0.0,62136.0
Anshun University,26.243291,105.903379,1938.0,Upper middle income,0.0,34169.0
Anteno De Varito University,6.910295,122.0760746,1912.0,Lower middle income,1.0,58157.0
Antonino Freire Institute Of Education,-5.080419,-42.822284,1915.0,Upper middle income,0.0,40009.0
Antonio Jos�� Camacho University Institution,3.4704728,-76.5273852,1993.0,Upper middle income,0.0,32981.0
Antonio Jos�� De Sucre National Experimental Polytechnic University - Caracas Branch,10.4906486,-66.9649209,1973.0,Upper middle income,0.0,77303.0
Antonio Jos�� De Sucre National Experimental Polytechnic University - Puerto Ordaz Branch,8.2796999,-62.7299594,1973.0,Upper middle income,0.0,76966.0
Antonio Nari��O University,4.4942756,-74.1199825,1976.0,Upper middle income,1.0,242990.0
Antonio Narro Autonomous Agricultural University,25.3534747,-101.0308635,1923.0,Upper middle income,0.0,30283.0
Ant��Nio Eufr��Sio De Toledo University Center Of Presidente Prudente,-22.11397,-51.3760441,1961.0,Upper middle income,1.0,36317.0
Anyang Institute Of Technology,36.0623061,114.3497414,1983.0,Upper middle income,0.0,75654.0
Anyang Normal University,36.058736,114.370738,1908.0,Upper middle income,0.0,91864.0
Anyang University.,37.3918813,126.9196633,1948.0,High income,1.0,41690.0
An��Huac Incorporated Private Teacher Training School,19.7013224,-101.1840568,1949.0,Upper middle income,1.0,36348.0
An��Huac University Of North Mexico,19.4021449,-99.2638484,1964.0,Upper middle income,1.0,69669.0
Aoyama Gakuin University,35.6605194,139.7099694,1874.0,High income,1.0,218860.0
Apayo State College,17.8087364,121.2946177,1971.0,Lower middle income,0.0,57871.0
Apec University,18.4735048,-69.9136638,1965.0,Upper middle income,1.0,54587.0
Applied Chemistry Research Centre,25.4591553,-100.9679386,1976.0,Upper middle income,0.0,33867.0
Applied Science Private University,32.0400076,35.9003989,1991.0,Upper middle income,1.0,39045.0
Aquinas University Of Legazpi,13.1637329,123.7512658,1948.0,Lower middle income,1.0,60610.0
Ara Institute Of Canterbury,-43.5378897,172.6442174,1906.0,High income,0.0,190219.0
"Arab Academy For Science, Technology And Maritime Transport",30.0817439,31.017934,1972.0,Lower middle income,1.0,30129.0
Arab Open University - Egypt Branch,30.0636699,31.3456095,2002.0,Lower middle income,1.0,77936.0
Arab Open University - Saudi Arabia Branch,24.7683343,46.5903947,2002.0,High income,1.0,46869.0
Arabaev Kyrgyz State University,42.8736653,74.6045547,1945.0,Lower middle income,0.0,176403.0
Araneta University Room,14.6711938,120.9985612,1946.0,Lower middle income,1.0,77799.0
Araullo University.,15.495358,120.975771,1950.0,Lower middle income,1.0,135340.0
Arcos Professional Institute,-33.4780932,-70.5369982,1981.0,High income,1.0,31704.0
Ardahan University,41.1314376,42.7803696,2008.0,Upper middle income,0.0,38187.0
Arellano University,14.6002507,120.9968002,1938.0,Lower middle income,1.0,127157.0
Argentine Business University,-34.6173786,-58.3818095,1957.0,Upper middle income,1.0,123688.0
Ariel University,32.103188,35.207718,1982.0,High income,0.0,70451.0
Aristotle University Of Thessaloniki,40.6308283,22.9592224,1925.0,High income,0.0,563971.0
Arizona State University,33.4169629,-111.9362888,1885.0,High income,0.0,336909.0
Arkansas State University,35.8430861,-90.6748589,1909.0,High income,0.0,130226.0
Arkansas Tech University,35.2937888,-93.1361472,1909.0,High income,0.0,72719.0
Armando ��Lvares Hairstyle Foundation,-23.5450358,-46.6629439,1947.0,Upper middle income,1.0,125340.0
Armavir State Pedagogical University,45.001814,41.1323479,1923.0,Upper middle income,0.0,46961.0
Armed Forces University,0.0407512,-78.1449665,1922.0,Upper middle income,0.0,123957.0
Armenian State Institute Of Physical Culture And Sport,40.1761641,44.5242766,1945.0,Upper middle income,0.0,31759.0
Armenian State Pedagogical University After Khachatur Abovyan,40.1752023,44.5238018,1922.0,Upper middle income,0.0,50125.0
Armenian State University Of Economics,40.1842484,44.5247352,1930.0,Upper middle income,0.0,65407.0
Armstrong Atlantic State University,31.9782395,-81.1643134,1935.0,High income,0.0,33941.0
Arriesgado College Foundation,7.4425631,125.8038974,1989.0,Lower middle income,1.0,31385.0
Art Institute Of Technology,43.7840347,-79.2331848,1978.0,High income,0.0,62717.0
Artha Wacana Christian University,-10.1491689,123.6534363,1985.0,Upper middle income,1.0,38910.0
Artois University,50.283639,2.792248,1991.0,High income,0.0,67941.0
Arts And Crafts Paris Tech,48.8337599,2.357553,1780.0,High income,0.0,41349.0
Arturo Prat University,-20.2441837,-70.1409449,1967.0,High income,0.0,44273.0
Arturo Rosenblueth Foundation For Scientific Development,19.3775588,-99.1774044,1978.0,Upper middle income,1.0,34040.0
Asbury College,16.283335,119.966669,1947.0,Lower middle income,1.0,40984.0
Asces Faculty,-8.266654,-35.9641023,1959.0,Upper middle income,1.0,36803.0
Ashford University,33.301001,-111.8418139,1918.0,High income,1.0,257392.0
"Asia College Of Advanced Studies In Arts, Sciences And Technology",12.5268068,124.5640978,2000.0,Lower middle income,1.0,30073.0
Asia School Of Arts And Sciences - The College Of Information Technology,14.6735772,121.0475084,1996.0,Lower middle income,1.0,30126.0
Asia University,35.7059873,139.5343002,1941.0,High income,1.0,69263.0
Asian College,14.6293924,121.068899,1972.0,Lower middle income,1.0,37292.0
Asian College Of Technology - Talisay,10.2960139,123.8978447,1988.0,Lower middle income,1.0,31407.0
Asian Development Foundation College,11.2171001,125.0010543,1984.0,Lower middle income,1.0,33716.0
Asian Institute For Distance Education,14.554779,121.020651,1984.0,Lower middle income,1.0,39218.0
Asian Institute Of Journalism And Communication,14.616514,121.000759,1980.0,Lower middle income,1.0,41142.0
Asian Institute Of Management,14.552473,121.018728,1968.0,Lower middle income,1.0,45065.0
Asian Institute Of Maritime Studies,14.545723,120.991665,1993.0,Lower middle income,1.0,33457.0
Asian Social Institute,14.5774534,120.9887399,1962.0,Lower middle income,1.0,49193.0
Asian University Of Bangladesh,23.8692398,90.400032,1996.0,Lower middle income,1.0,43493.0
Asmarya University For The Islamic Sciences,32.4679879,14.5674517,1995.0,Upper middle income,0.0,62446.0
Assis Integrated Faculty Machado,-27.871628,-54.4755863,1949.0,Upper middle income,1.0,37266.0
Assiut University,27.1873662,31.1702453,1949.0,Lower middle income,0.0,612503.0
Assumption College,14.5470689,121.0215319,1940.0,Lower middle income,1.0,41390.0
Assumption College,42.2943228,-71.8291592,1904.0,High income,1.0,31330.0
Assumption College Of Davao,7.087841,125.6238969,1958.0,Lower middle income,1.0,40350.0
Assumption College Of Nabunturan,7.5991881,125.9632784,1955.0,Lower middle income,1.0,40520.0
Assumption University Center,42.306087,-83.0693957,1971.0,Upper middle income,1.0,34530.0
Assumption University Of Thailand,13.6825381,100.7328378,1969.0,Upper middle income,1.0,116510.0
Aston University,52.4868584,-1.8882174,1895.0,High income,0.0,86915.0
Astrahan State Medical Academy,46.341633,48.039354,1918.0,Upper middle income,0.0,37698.0
Astrahan State Technical University,46.3754426,48.0542261,1930.0,Upper middle income,0.0,62784.0
Astrahan State University,46.376639,48.0535458,1932.0,Upper middle income,0.0,45423.0
Ataturk University,39.8994487,41.2441549,1957.0,Upper middle income,0.0,296095.0
Ateneo De Davao University,7.0711276,125.61342,1948.0,Lower middle income,1.0,49874.0
Ateneo De Manila University - Quezon City,14.6398614,121.0784939,1859.0,Lower middle income,1.0,117451.0
Athabasca University,54.714955,-113.3085451,1970.0,High income,0.0,186829.0
Athenaeum Of Naga University,13.630323,123.1851484,1940.0,Lower middle income,1.0,49308.0
Athens State University,34.8055801,-86.9645309,1822.0,High income,0.0,35205.0
Athlone Institute Of Technology,53.4176602,-7.9035815,1970.0,High income,0.0,37441.0
Atma Jaya Catholic University Of Indonesia,-6.2185343,106.8153486,1960.0,Upper middle income,1.0,87445.0
Atma Jaya Yogyakarta University,-7.7804399,110.4141109,1965.0,Upper middle income,1.0,92164.0
Atoms University,43.6609086,-79.3959518,1965.0,High income,1.0,33493.0
Auburn University,32.6040018,-85.4852504,1856.0,High income,0.0,269581.0
Auburn University At Montgomery,32.3695951,-86.1788341,1967.0,High income,0.0,56179.0
"Auchi Polytechnic, Auchi",7.066832,6.2747692,1963.0,Lower middle income,0.0,55636.0
Auckland University Of Technology,-36.8536098,174.7664805,1895.0,High income,0.0,256759.0
Augsburg University Of Applied Sciences,48.3590532,10.9067511,1971.0,High income,0.0,47270.0
Augusta State University,33.4755276,-82.0233283,1925.0,High income,0.0,44493.0
Augusto Receive University Center,-22.8671481,-43.2535559,1970.0,Upper middle income,1.0,35513.0
Aurel Vlaicu University Of Arad,46.1749267,21.3189754,1812.0,High income,0.0,38832.0
Aurora Pioneer Memorial College,7.9460758,123.5858277,1950.0,Lower middle income,1.0,40809.0
Aurora State College Of Technology,16.1889247,122.0523223,1994.0,Lower middle income,0.0,47637.0
Australian Catholic University,-27.3780232,153.0888676,1991.0,High income,0.0,88286.0
Autonomous Institute Of Education Of Tecom��N,18.9004099,-103.8868505,1979.0,Upper middle income,1.0,34015.0
